outcome,classification,icc,term,Value,Std.Error,t-value,p-value
bucket_communication_and_creative_total_mentions,aug,0.543,Intercept,134.1324936424465,187.04382496206705,0.7171179998572468,0.4733012901579594
bucket_communication_and_creative_total_mentions,aug,0.543,TIME,43.580484662617174,1.4151322745296,30.79605026823633,2.9597767362941546e-208
bucket_communication_and_creative_total_mentions,aug,0.543,TRANS,-698.1938414072953,71.94514366082714,-9.70453050589222,2.8840097701846265e-22
bucket_communication_and_creative_total_mentions,aug,0.543,RECOV,-36.585585498992835,3.9510370079790986,-9.259742549894733,2.0492572211999076e-20
bucket_communication_and_creative_total_mentions,aug,0.543,Group Var,1.4166804321142963,0.2704974311197334,5.237315660447861,1.6292889808018598e-07
bucket_communication_and_creative_total_mentions,auto,0.551,Intercept,240.75544892366253,307.60270848875234,0.7826831243017676,0.4338132145793493
bucket_communication_and_creative_total_mentions,auto,0.551,TIME,16.560875062233244,2.2342419645213836,7.4123014987684614,1.2412616514296762e-13
bucket_communication_and_creative_total_mentions,auto,0.551,TRANS,-467.94865509320846,118.91909690208918,-3.9350168920176816,8.319084486691442e-05
bucket_communication_and_creative_total_mentions,auto,0.551,RECOV,-6.420970056271653,5.886954355651592,-1.0907117107350077,0.275399755993867
bucket_communication_and_creative_total_mentions,auto,0.551,Group Var,1.5229146488140284,1.0951662880067794,1.3905784587158523,0.1643532922651666
bucket_communication_and_creative_total_mentions,both,0.0,Intercept,3.406539853952541e-14,5998104164.354851,5.6793609457413356e-24,1.0
bucket_communication_and_creative_total_mentions,both,0.0,TIME,44.662625303937695,2.571646102508672,17.36732953277232,1.4585797022252052e-67
bucket_communication_and_creative_total_mentions,both,0.0,TRANS,-521.5459365338452,121.53818181591032,-4.291210619917062,1.7770166713510334e-05
bucket_communication_and_creative_total_mentions,both,0.0,RECOV,-24.312958797125543,6.734911748965405,-3.6099892178780846,0.00030620973338274336
bucket_communication_and_creative_total_mentions,both,0.0,Group Var,0.0,,,
bucket_data_and_analytics_total_mentions,aug,0.517,Intercept,39.41564966733598,37.861491053477025,1.0410485316509008,0.29785302473818587
bucket_data_and_analytics_total_mentions,aug,0.517,TIME,8.056643196062502,0.3093077422327474,26.04733763825431,1.4421057846986015e-149
bucket_data_and_analytics_total_mentions,aug,0.517,TRANS,-136.5155941624239,15.731812535126025,-8.677677404152355,4.039328440961776e-18
bucket_data_and_analytics_total_mentions,aug,0.517,RECOV,-6.700648479043652,0.8635901913059437,-7.759060427621064,8.55608788165878e-15
bucket_data_and_analytics_total_mentions,aug,0.517,Group Var,1.2039800041091826,0.23039048836618492,5.225823395085499,1.73381790018681e-07
bucket_data_and_analytics_total_mentions,auto,0.544,Intercept,62.84231118433865,74.19381603027068,0.8470020083439207,0.39699400202521773
bucket_data_and_analytics_total_mentions,auto,0.544,TIME,2.5684958578480135,0.5610923766569224,4.577670210298562,4.701831762848088e-06
bucket_data_and_analytics_total_mentions,auto,0.544,TRANS,-128.14386672106446,29.869849298431934,-4.290074095813787,1.7861351566092496e-05
bucket_data_and_analytics_total_mentions,auto,0.544,RECOV,0.32544925645832684,1.4784417733976898,0.2201299113122282,0.8257699802430767
bucket_data_and_analytics_total_mentions,auto,0.544,Group Var,1.399139159246376,1.0074265860361504,1.3888249314041523,0.16488599205054877
bucket_data_and_analytics_total_mentions,both,0.0,Intercept,1.4138510057087251e-14,2984527977.225681,4.737268393855013e-24,1.0
bucket_data_and_analytics_total_mentions,both,0.0,TIME,15.689422328880223,1.2795959406760393,12.261231713966792,1.46259653440082e-34
bucket_data_and_analytics_total_mentions,both,0.0,TRANS,-216.74434421117775,60.47479236628779,-3.5840444543965697,0.0003383144665642124
bucket_data_and_analytics_total_mentions,both,0.0,RECOV,-4.467030020777884,3.3511476273428773,-1.332985149424703,0.1825366773022744
bucket_data_and_analytics_total_mentions,both,0.0,Group Var,0.0,,,
bucket_development_and_infrastructure_total_mentions,aug,0.0,Intercept,9.379848128914874e-15,879425812.5833069,1.0665877660972491e-23,1.0
bucket_development_and_infrastructure_total_mentions,aug,0.0,TIME,12.421326739963048,0.44354277767279277,28.004799909348137,1.4201872177168312e-172
bucket_development_and_infrastructure_total_mentions,aug,0.0,TRANS,-192.92404432165415,22.495534113396577,-8.576104188020311,9.814065449044836e-18
bucket_development_and_infrastructure_total_mentions,aug,0.0,RECOV,-11.718918244610858,1.238763224514659,-9.460176095558754,3.0742503545672592e-21
bucket_development_and_infrastructure_total_mentions,aug,0.0,Group Var,0.0,,,
bucket_development_and_infrastructure_total_mentions,auto,0.601,Intercept,57.35644129997465,100.15584805458502,0.5726719149611248,0.5668668568937673
bucket_development_and_infrastructure_total_mentions,auto,0.601,TIME,4.80944661445114,0.6946260116135112,6.923792852616508,4.397087544842748e-12
bucket_development_and_infrastructure_total_mentions,auto,0.601,TRANS,-133.1826333337463,36.96776823726305,-3.6026690191024264,0.0003149664704846702
bucket_development_and_infrastructure_total_mentions,auto,0.601,RECOV,-3.747779386288145,1.83055853585144,-2.0473420067635018,0.04062451616056041
bucket_development_and_infrastructure_total_mentions,auto,0.601,Group Var,1.67698669371527,1.2047211882776918,1.392012284695303,0.16391867796025705
bucket_development_and_infrastructure_total_mentions,both,0.0,Intercept,1.3409589496832272e-14,1751492065.2905517,7.656094916198082e-24,1.0
bucket_development_and_infrastructure_total_mentions,both,0.0,TIME,11.107713920488806,0.7509402337569744,14.7917416342398,1.6561232786759095e-49
bucket_development_and_infrastructure_total_mentions,both,0.0,TRANS,-205.81517092550047,35.49007407131346,-5.799231934876698,6.661933914468421e-09
bucket_development_and_infrastructure_total_mentions,both,0.0,RECOV,-10.01021528400015,1.9666454875602855,-5.089994789258274,3.580733539975172e-07
bucket_development_and_infrastructure_total_mentions,both,0.0,Group Var,0.0,,,
bucket_domain_specific_and_industry_total_mentions,aug,0.591,Intercept,127.48188008718687,202.75536488789683,0.6287472598205794,0.5295145327855026
bucket_domain_specific_and_industry_total_mentions,aug,0.591,TIME,41.06879301129272,1.3835425216771664,29.68379530649196,1.2430234834517504e-193
