outcome,classification,icc,term,Value,Std.Error,t-value,p-value
cat_active_learning_avg_mentions_per_post,aug,0.555,Intercept,0.0004161431316948047,0.0005993041521621063,0.6943771875991304,0.48744569609978783
cat_active_learning_avg_mentions_per_post,aug,0.555,TIME,2.4268318915239142e-05,4.814981389773984e-06,5.04016878793758,4.6512144416378427e-07
cat_active_learning_avg_mentions_per_post,aug,0.555,TRANS,-0.0009285457952990529,0.000244879713198955,-3.7918445067135735,0.00014953253278469501
cat_active_learning_avg_mentions_per_post,aug,0.555,RECOV,-8.86010022124966e-06,1.34413242764771e-05,-0.659168697890521,0.5097874451683624
cat_active_learning_avg_mentions_per_post,aug,0.555,Group Var,1.2474042215532137,0.23877293798319704,5.224227804413062,1.7488337278825925e-07
cat_active_learning_avg_mentions_per_post,auto,0.0,Intercept,-1.7826689012114568e-18,57139.98665283048,-3.119827297200026e-23,1.0
cat_active_learning_avg_mentions_per_post,auto,0.0,TIME,1.8469561138978073e-06,3.0261482122006072e-05,0.061033233813578,0.9513327416257678
cat_active_learning_avg_mentions_per_post,auto,0.0,TRANS,-0.009716074601641226,0.0016093197968988083,-6.037379655904499,1.5663689741232637e-09
cat_active_learning_avg_mentions_per_post,auto,0.0,RECOV,0.001166882691812715,7.971359056329853e-05,14.638440993146872,1.5968792723527154e-48
cat_active_learning_avg_mentions_per_post,auto,0.0,Group Var,0.0,,,
cat_active_learning_avg_mentions_per_post,both,0.572,Intercept,0.0012758660238485094,0.0010129970947384316,1.259496231998527,0.20785115036444846
cat_active_learning_avg_mentions_per_post,both,0.572,TIME,-4.889347123368451e-06,8.359570693770999e-06,-0.5848801693861707,0.558628293533582
cat_active_learning_avg_mentions_per_post,both,0.572,TRANS,0.0005495860323954031,0.0003956963208136601,1.3889086238287573,0.16486053782782628
cat_active_learning_avg_mentions_per_post,both,0.572,RECOV,8.231684864808336e-06,2.189831039303283e-05,0.3759050226736822,0.7069875063661433
cat_active_learning_avg_mentions_per_post,both,0.572,Group Var,1.3030580327904029,0.3340593610704962,3.90067809689494,9.592362867024592e-05
cat_active_listening_avg_mentions_per_post,aug,0.0,Intercept,0.00500514805981134,0.0019864119709362385,2.519692859811103,0.011745727510257306
cat_active_listening_avg_mentions_per_post,aug,0.0,TIME,8.649832988861576e-05,1.857398290676618e-05,4.656961854805299,3.209098749025803e-06
cat_active_listening_avg_mentions_per_post,aug,0.0,TRANS,-0.0012480744854394162,0.0009455946845070888,-1.3198831443199168,0.18687403607912578
cat_active_listening_avg_mentions_per_post,aug,0.0,RECOV,-6.401574854850388e-05,5.1843142455986967e-05,-1.2347968413151467,0.21690612324484582
cat_active_listening_avg_mentions_per_post,aug,0.0,Group Var,0.9005962172490828,0.17316142049887645,5.20090569050816,1.9831972183316205e-07
cat_active_listening_avg_mentions_per_post,auto,0.094,Intercept,0.0016942622809397135,0.0019412684448686848,0.8727604290988824,0.3827936723535953
cat_active_listening_avg_mentions_per_post,auto,0.094,TIME,2.0030293498728416e-05,5.805070286259586e-05,0.3450482511148827,0.7300580965311394
cat_active_listening_avg_mentions_per_post,auto,0.094,TRANS,-0.016699589689245824,0.0030698785509507076,-5.439820961019499,5.333414232166264e-08
cat_active_listening_avg_mentions_per_post,auto,0.094,RECOV,0.0018365313329497541,0.00014662690449534436,12.525200196175913,5.4354028343707314e-36
cat_active_listening_avg_mentions_per_post,auto,0.094,Group Var,0.027095849049308368,0.03292051577634501,0.8230687888790021,0.41046887639545415
cat_active_listening_avg_mentions_per_post,both,0.536,Intercept,0.01900312259414514,0.007649549035320621,2.4842147565040937,0.012983748011667753
cat_active_listening_avg_mentions_per_post,both,0.536,TIME,-0.00017413528473359931,6.548952439566494e-05,-2.6589792236317744,0.007837779614133969
cat_active_listening_avg_mentions_per_post,both,0.536,TRANS,-0.003994734331456405,0.0031042022966264395,-1.2868795103327417,0.1981362879739057
cat_active_listening_avg_mentions_per_post,both,0.536,RECOV,0.0008436300166314992,0.00017143802988071414,4.920903589585656,8.614556102103424e-07
cat_active_listening_avg_mentions_per_post,both,0.536,Group Var,1.2014617395289575,0.30668755367699063,3.917543197055726,8.945601926672541e-05
cat_administration_and_management_avg_mentions_per_post,aug,0.54,Intercept,0.49892158343933685,0.02575278561748452,19.373499661357044,1.2917189866857045e-83
cat_administration_and_management_avg_mentions_per_post,aug,0.54,TIME,0.0003076602185091719,0.0002129976788319293,1.4444299120833999,0.14861808172277538
cat_administration_and_management_avg_mentions_per_post,aug,0.54,TRANS,0.006377992637541099,0.010833581355629649,0.5887243034573039,0.5560462318555399
cat_administration_and_management_avg_mentions_per_post,aug,0.54,RECOV,-0.0001146856920706306,0.0005946303867408366,-0.19286887220685403,0.8470616636780475
cat_administration_and_management_avg_mentions_per_post,aug,0.54,Group Var,1.172955506489246,0.22465090281878547,5.221236557573107,1.777323315715945e-07
cat_administration_and_management_avg_mentions_per_post,auto,0.874,Intercept,0.5445748157419463,0.1465821762892902,3.715150296767253,0.0002030829490639535
cat_administration_and_management_avg_mentions_per_post,auto,0.874,TIME,0.0006936642699385629,0.000507470459353438,1.3669057127430673,0.17165486115160977
cat_administration_and_management_avg_mentions_per_post,auto,0.874,TRANS,0.036865006016125516,0.026990778897129978,1.365837057041933,0.1719901123481936
cat_administration_and_management_avg_mentions_per_post,auto,0.874,RECOV,-0.00026764150753229055,0.0013370861467232053,-0.20016773652782144,0.8413493990353894
cat_administration_and_management_avg_mentions_per_post,auto,0.874,Group Var,6.952598618581354,4.950907172047663,1.4043080140615531,0.16022714888157985
cat_administration_and_management_avg_mentions_per_post,both,0.544,Intercept,0.5413507089746249,0.03278486517374888,16.512213977566972,2.996842172323426e-61
cat_administration_and_management_avg_mentions_per_post,both,0.544,TIME,0.00036031494997562473,0.0002791317287239557,1.2908419677791423,0.19675848183793654
cat_administration_and_management_avg_mentions_per_post,both,0.544,TRANS,-0.016115713395173547,0.01323395848396489,-1.2177545678944344,0.22331725374685896
cat_administration_and_management_avg_mentions_per_post,both,0.544,RECOV,0.0016271116121388588,0.0007307780498263871,2.226546914655436,0.025977570199324933
cat_administration_and_management_avg_mentions_per_post,both,0.544,Group Var,1.2148861248529992,0.31011761059358595,3.9175012426015585,8.947158478905432e-05
cat_administrative_avg_mentions_per_post,aug,0.0,Intercept,0.0767363894759896,0.0075335976960653915,10.185888943348685,2.2925490809309764e-24
cat_administrative_avg_mentions_per_post,aug,0.0,TIME,-0.0002495369230056074,9.999297907626491e-05,-2.4955444403280045,0.01257640007712408
cat_administrative_avg_mentions_per_post,aug,0.0,TRANS,0.0019050378966502786,0.005107860462801771,0.3729620083641291,0.7091767200694323
cat_administrative_avg_mentions_per_post,aug,0.0,RECOV,0.0005254528835761599,0.0002790328233835714,1.8831221259365893,0.05968381935380572
cat_administrative_avg_mentions_per_post,aug,0.0,Group Var,0.4085423300734219,0.08042320804275072,5.079905912933146,3.776218440403009e-07
cat_administrative_avg_mentions_per_post,auto,0.0,Intercept,1.8466502826670255e-18,397238.4401415606,4.6487200030514414e-24,1.0
cat_administrative_avg_mentions_per_post,auto,0.0,TIME,0.0008808609442740558,0.00021037848726767147,4.1870295566547515,2.8262903252824215e-05
cat_administrative_avg_mentions_per_post,auto,0.0,TRANS,0.010087450826809924,0.011188026516232106,0.9016291489991183,0.36725390133048597
cat_administrative_avg_mentions_per_post,auto,0.0,RECOV,-0.0007214155293206361,0.0005541706295074742,-1.3017931498134478,0.19298710614707393
cat_administrative_avg_mentions_per_post,auto,0.0,Group Var,0.0,,,
cat_administrative_avg_mentions_per_post,both,0.0,Intercept,2.7381415068451555e-19,242546.17705427494,1.1289155492368107e-24,1.0
cat_administrative_avg_mentions_per_post,both,0.0,TIME,0.000395721042155858,0.00010399001314561085,3.805375441214283,0.00014158925497546082
cat_administrative_avg_mentions_per_post,both,0.0,TRANS,-0.0041873610585058,0.0049146564577454465,-0.8520150074592829,0.39420576260288587
cat_administrative_avg_mentions_per_post,both,0.0,RECOV,-0.00038520107760354653,0.0002723405684111154,-1.414409464777429,0.15724171269819917
cat_administrative_avg_mentions_per_post,both,0.0,Group Var,0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,aug,0.61,Intercept,0.005895870827131598,0.003825652398693077,1.5411412780590705,0.12328240549394388
cat_arm_hand_steadiness_avg_mentions_per_post,aug,0.61,TIME,-8.271002962832815e-05,2.747567094237797e-05,-3.0103006329413313,0.0026098922315963904
cat_arm_hand_steadiness_avg_mentions_per_post,aug,0.61,TRANS,-4.664302333574951e-05,0.0013964205960982955,-0.033401844305414596,0.973354138941742
cat_arm_hand_steadiness_avg_mentions_per_post,aug,0.61,RECOV,0.00011555804440957746,7.670243704010499e-05,1.5065759168663213,0.13191939431824087
cat_arm_hand_steadiness_avg_mentions_per_post,aug,0.61,Group Var,1.5810744036647015,0.3013081080696506,5.247367599212495,1.5428785467859755e-07
cat_arm_hand_steadiness_avg_mentions_per_post,auto,,Intercept,0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,auto,,TIME,0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,auto,,TRANS,0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,auto,,RECOV,-0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,auto,,Group Var,1.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,both,,Intercept,0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,both,,TIME,0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,both,,TRANS,0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,both,,RECOV,-0.0,,,
cat_arm_hand_steadiness_avg_mentions_per_post,both,,Group Var,1.0,,,
cat_auditory_attention_avg_mentions_per_post,aug,0.0,Intercept,-6.271792316661484e-07,1.8787465936818226e-06,-0.33382853961004444,0.7385089461394158
cat_auditory_attention_avg_mentions_per_post,aug,0.0,TIME,1.0643978906569824e-07,2.6696710665148134e-08,3.9870001364869507,6.691398711414628e-05
cat_auditory_attention_avg_mentions_per_post,aug,0.0,TRANS,-1.5957634598691576e-06,1.3665946820804348e-06,-1.1676933042354942,0.2429304986309737
cat_auditory_attention_avg_mentions_per_post,aug,0.0,RECOV,-1.1800583949846999e-07,7.443596423493731e-08,-1.5853336584183413,0.11289054554712653
cat_auditory_attention_avg_mentions_per_post,aug,0.0,Group Var,0.34560167009642695,0.06816909259030422,5.069770726940589,3.982952119212951e-07
cat_auditory_attention_avg_mentions_per_post,auto,,Intercept,0.0,,,
cat_auditory_attention_avg_mentions_per_post,auto,,TIME,0.0,,,
cat_auditory_attention_avg_mentions_per_post,auto,,TRANS,0.0,,,
cat_auditory_attention_avg_mentions_per_post,auto,,RECOV,-0.0,,,
cat_auditory_attention_avg_mentions_per_post,auto,,Group Var,1.0,,,
cat_auditory_attention_avg_mentions_per_post,both,0.0,Intercept,3.4236837372703827e-22,280.7951934646873,1.2192814609915835e-24,1.0
cat_auditory_attention_avg_mentions_per_post,both,0.0,TIME,1.394245165544324e-07,1.2038901711109246e-07,1.158116578240475,0.2468164654876872
cat_auditory_attention_avg_mentions_per_post,both,0.0,TRANS,-5.268209401400824e-06,5.68968733139958e-06,-0.9259224794879759,0.3544862680666234
cat_auditory_attention_avg_mentions_per_post,both,0.0,RECOV,-5.872159158344553e-08,3.1528809698851624e-07,-0.18624741036634934,0.8522507462290807
cat_auditory_attention_avg_mentions_per_post,both,0.0,Group Var,0.0,,,
cat_biology_avg_mentions_per_post,aug,0.0,Intercept,-3.570638845035116e-19,90872.37850324911,-3.929289519925407e-24,1.0
cat_biology_avg_mentions_per_post,aug,0.0,TIME,-6.718852977054316e-05,4.583193556334958e-05,-1.4659762662145084,0.14265475279393341
cat_biology_avg_mentions_per_post,aug,0.0,TRANS,0.007378619847948191,0.002324497031285033,3.174286630028143,0.0015020528084397672
cat_biology_avg_mentions_per_post,aug,0.0,RECOV,-0.00019523825103672524,0.0001280032482595999,-1.5252601296552089,0.12719422813115086
cat_biology_avg_mentions_per_post,aug,0.0,Group Var,0.0,,,
cat_biology_avg_mentions_per_post,auto,0.002,Intercept,-1.7451339789039606e-20,9763.426121512106,-1.7874196590260917e-24,1.0
cat_biology_avg_mentions_per_post,auto,0.002,TIME,6.567940662364711e-06,5.17073528247018e-06,1.270214061166762,0.20400839028269357
