skill_name,category,category_detail,category_source,match_type,broad_bucket
3pl central,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
accellos real dispatch,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
acornsystems corporate performance management,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
adp workforce now,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
airtable,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
applicant tracking software,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
appointment scheduling software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
arcline arcfreight,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
asana,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
audacity,Business function specific software,43231500,UNSPSC,fuzzy,Enterprise & operations
audit software,Business function specific software,43231500,UNSPSC,exact,Enterprise & operations
austin logistics callselect,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
automated inventory software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
bar coding software,Business function specific software,43231500,UNSPSC,exact,Enterprise & operations
basecamp,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
cadre technologies accuplus integrated distribution logistics system,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
call center software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
chemsw chemical inventory system cis,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
clubsoft food & beverage point of sale,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
computer aided dispatching auto routing software,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
computer integrated manufacturing cim warehouse shipping manager software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
computerized inventory tracking software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
course management system software,Business function specific software,43231500,UNSPSC,fuzzy,Enterprise & operations
credit management software,Business function specific software,43231500,UNSPSC,fuzzy,Enterprise & operations
digital dispatch,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
digivey software (point of sale feature),Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
dr. dispatch,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
easy dispatch,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
employee performance management system,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
employee scheduling software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
epos business solutions system 3 pos,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
esri arclogistics,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
event scheduling software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
expert system software,Business function specific software,43231500,UNSPSC,exact,Enterprise & operations
fishbowl warehouse,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
focus point of sale pos software,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
food inventory software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
freightdata,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
halogen e360,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
halogen epraisal,Business function specific software,UNSPSC,UNSPSC,keyword_extended,Enterprise & operations
help desk software,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
helpdesk or call center software,Business function specific software,43231500,UNSPSC,exact,Enterprise & operations
high school scheduling and transcript hsst,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
human resource information system (hris),Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
human resource management software hrms,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
human resource microsystems hr entre,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
human resources management system hrms,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
human resources software,Business function specific software,43231500,UNSPSC,exact,Enterprise & operations
ibm ilog inventory analyst,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
ibm infosphere warehouse,Business function specific software,keyword_assigned,UNSPSC,keyword,Enterprise & operations
